top_kb_index;name;emoji;link
1;Телефонный справочник;:telephone:;https://mipt.ru/about/general/contacts/phones
2;Рабочее место и ПО;:office_building:;None
3;1С (УОП, БГУ, ЗКГУ, ФПЗ, ДО, Охрана труда);:page_facing_up:;None
4;Корпоративный аккаунт/почта/сервисы рассылок;:e-mail:;None
6;Доступ в Интернет, телефон;:antenna_bars:;None
7;Сервисы для сотрудников;:gear:;None
8;Сервера и виртуалки;:desktop_computer:;None
9;Онлайн-оплата;:credit_card:;None
10;Аудитории с проекционным и звуковым оборудованием;:video_camera:;None
11;Пропуск (ЭКД);:key:;None
12;Кадровые вопросы;:student_light_skin_tone:;None
-1;Написать в техподдержку;:SOS_button:;None